Date: 2019-12-23 15:04:09.3971 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/images/logo_small-png: Correlation ID not set, using generated 28d35d18-8d37-48b3-9d19-3d9e3e53f35c , 
Date: 2019-12-23 15:04:09.6021 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/docs/v1: Correlation ID not set, using generated f96b5b15-96cb-4119-a5d4-e638d68fb1d7 , 
Date: 2019-12-23 15:04:09.6211 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/images/favicon-32x32-png: Correlation ID not set, using generated 4e687380-7419-404b-a281-4c01c08076e3 , 
Date: 2019-12-23 15:04:12.0690 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/images/throbber-gif: Correlation ID not set, using generated 1d1c4464-006e-4a47-858d-fde942c6a839 , 
Date: 2019-12-23 15:04:14.1094 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/DaaS/Localization/Languages: Correlation ID not set, using generated 87a7ef07-48fe-4663-9e2f-83db6ba54368 , 
Date: 2019-12-23 15:05:18.8615 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/DaaS/Localization/Languages: Correlation ID not set, using generated 45301cee-6035-4702-bec9-5793ef508ad3 , 
Date: 2019-12-23 15:05:29.3381 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/DaaS/Localization/Languages: Correlation ID not set, using generated e41f645f-78fe-418c-9bf2-b939df1e54ae , 
Date: 2019-12-23 15:08:36.4797 , LoggerName: Tieto.TSU.Performance.DataService.WebApiApplication , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: Trace entry using Tieto.TSU.Performance.DataService -> Application_Start , 
Date: 2019-12-23 15:08:39.4639 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/: Correlation ID not set, using generated 348f2982-bec0-47f5-b6e9-887fdc343873 , 
Date: 2019-12-23 15:08:40.1067 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/index: Correlation ID not set, using generated 2e8ecca6-ff9c-4697-b359-453f297aa4df , 
Date: 2019-12-23 15:08:40.1857 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/css/typography-css: Correlation ID not set, using generated 8218e190-eafc-4992-a15f-a6d59749803c , 
Date: 2019-12-23 15:08:40.1857 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/css/reset-css: Correlation ID not set, using generated d0aa529f-b632-4a1f-9f01-99764dd83499 , 
Date: 2019-12-23 15:08:40.1857 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/css/screen-css: Correlation ID not set, using generated 40dcf25f-664f-4a01-aad9-e8f7821d7f79 , 
Date: 2019-12-23 15:08:40.1947 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/css/print-css: Correlation ID not set, using generated 9902756d-69dc-47da-a2d2-10fcd08495d5 , 
Date: 2019-12-23 15:08:40.1947 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/ext/Tieto-TSU-Performance-DataService-Content-SwaggerCustom-css: Correlation ID not set, using generated 348b7bb8-d372-491c-8c9a-19d45b6b2671 , 
Date: 2019-12-23 15:08:40.1947 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/lib/object-assign-pollyfill-js: Correlation ID not set, using generated b3577926-02e9-4156-a91b-bdd22b749982 , 
Date: 2019-12-23 15:08:40.2307 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/lib/jquery-1-8-0-min-js: Correlation ID not set, using generated ebbacc81-89d9-4e43-8b81-7ae6a04ea6e2 , 
Date: 2019-12-23 15:08:40.2307 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/lib/jquery-wiggle-min-js: Correlation ID not set, using generated d4998398-9889-40a2-9710-0a7f86ced5b4 , 
Date: 2019-12-23 15:08:40.2407 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/lib/handlebars-4-0-5-js: Correlation ID not set, using generated 243f02b0-4459-461c-b4f7-d701c023866d , 
Date: 2019-12-23 15:08:40.2407 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/lib/jquery-slideto-min-js: Correlation ID not set, using generated 7013ad6f-3ed7-405b-b527-9c5f5772f4bf , 
Date: 2019-12-23 15:08:40.2407 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/lib/lodash-min-js: Correlation ID not set, using generated 6f8ed5ea-d0b2-49b9-a7e8-aeaf448ea5a5 , 
